headword,pos,freq_rank
plunge,n./v.,4610
rally,n./v.,4619
steer,v./n.,4623
outlet,n.,4624
vendor,n.,4625
intact,adj.,4626
thrive,v.,4628
elaborate,adj./v.,4630
auction,n./v.,4632
conception,n.,4636
comply,v.,4637
triumph,n./v.,4638
transport,n./v.,4640
conscience,n.,4641
constraint,n.,4643
feminist,n.,4648
bacterium,n.,4650
jurisdiction,n.,4651
butt,n.,4657
bulk,n./v.,4660
mortality,n.,4662
harmony,n.,4669
tolerance,n.,4670
mobile,adj./n.,4686
deposit,n./v.,4692
brake,n./v.,4693
impulse,n./v.,4695
brutal,adj.,4697
forbid,v.,4698
predator,n.,4699
poke,n./v.,4702
forum,n.,4705
soar,n./v.,4707
enact,v.,4710
autonomy,n.,4712
thread,n./v.,4714
landmark,n.,4715
fraction,n.,4719
distinctive,adj.,4723
fragile,adj.,4733
exhaust,n./v.,4734
objection,n.,4737
blast,n./v.,4739
prevail,v.,4741
fragment,n.,4744
screw,n./v.,4750
projection,n.,4755
drill,n./v.,4760
mansion,n.,4761
canyon,n.,4767
charm,n./v.,4768
loyal,adj.,4770
clay,n.,4771
balloon,n./v.,4774
molecule,n.,4785
retreat,n./v.,4787
favorable,adj.,4790
accountability,n.,4799
premium,n.,4801
contemplate,v.,4802
overwhelm,v.,4804
spark,n./v.,4805
fatigue,n./v./adj.,4806
speculate,v.,4809
bucket,n.,4812
preach,v./n.,4814
marble,n./adj.,4819
surveillance,n.,4825
explicit,adj.,4826
soak,n./v.,4835
transmit,v.,4836
mutter,n./v.,4837
slot,n./v.,4842
coordinate,n./adj./v.,4847
riot,n./v.,4848
nutrient,adj./n.,4849
sovereignty,n.,4852
ridge,n.,4853
frustrate,v./adj.,4856
articulate,adj./v.,4865
swell,n./adj./v.,4867
cue,n./v.,4874
hazard,n./v.,4876
compelling,adj.,4879
vague,adj.,4885
convenience,n.,4892
timber,n./v.,4896
bolt,n./v./adv.,4899
bulb,n.,4901
cargo,n.,4905
dock,n./v.,4912
boring,adj.,4915
marine,n./adj.,4916
summary,n./adj.,4917
epidemic,n./adj.,4919
trim,n./adj./v.,4920
fatal,adj.,4921
warehouse,n./v.,4922
accelerate,v.,4925
creek,n.,4931
dictate,v./n.,4933
stereotype,n./v.,4936
plaintiff,n.,4939
pistol,n./v.,4943
bore,n./v.,4946
retrieve,v./n.,4952
tribute,n.,4953
bizarre,adj.,4957
nominate,v.,4958
devise,v./n.,4960
anchor,n./v.,4961
bargain,n./v.,4962
extract,n./v.,4971
betray,v.,4974
consistency,n.,4975
bureaucracy,n.,4976
critique,n.,4982
compassion,n.,4986
awkward,adj.,4992
militia,n.,4998
composer,n.,4999
authentic,adj.,5000
concession,n.,5001
tenure,n.,5004
dome,n./v.,5005
haunt,n./v.,5014
sheriff,n.,5016
evoke,v.,5018
surrender,v./n.,5024
scar,n./v.,5026
variance,n.,5027
surge,n./v.,5029
commentary,n.,5032
imperial,adj./n.,5035
compensate,v.,5037
hover,v./n.,5041
stunning,adj.,5045
viable,adj.,5049
clarify,v.,5050
strive,v.,5062
tilt,n./v.,5070
medieval,adj.,5073
advocacy,n.,5074
monetary,adj.,5077
antibiotic,n./adj.,5080
prosperity,n.,5082
accumulate,v.,5083
prosecute,v.,5089
intervene,v.,5091
glow,n./v.,5092
embody,v.,5093
dull,adj./v.,5094
raid,n./v.,5096
crown,n./v.,5097
fake,n./adj./v.,5098
creep,n./v.,5099
crab,n./v.,5100
manuscript,n./adj.,5114
mandatory,adj.,5119
advertise,v.,5124
stun,v./n.,5131
devoted,adj.,5132
mature,adj./v.,5133
affection,n.,5137
stamp,n./v.,5139
conceal,v.,5148
kidney,n.,5152
solo,n./adj./v.,5164
leak,n./v.,5165
greenhouse,n.,5166
expenditure,n.,5170
herd,n./v.,5174
passionate,adj.,5175
probe,n./v.,5178
competence,n.,5191
supplement,n./v.,5192
distress,n./v./adj.,5194
pledge,n./v.,5198
paradigm,n.,5201
appetite,n.,5205
hierarchy,n.,5206
offend,v.,5207
hostility,n.,5211
spectator,n.,5215
litigation,n.,5216
choke,v./n.,5223
ensemble,n.,5224
pesticide,n.,5225
delegate,n./v.,5227
affordable,,5234
prejudice,n./v.,5235
designate,v./adj.,5240
robe,n./v.,5241
cult,n.,5245
diameter,n.,5253
enlist,v.,5254
acute,adj.,5255
predecessor,n.,5256
induce,v.,5257
rookie,n.,5259
juvenile,n./adj.,5261
torture,n./v.,5272
chorus,n./v.,5274
comic,n./adj.,5277
revive,v.,5278
revenge,n./v.,5280
reside,v.,5284
empirical,adj.,5285
lure,n./v.,5288
compile,v.,5289
erupt,v.,5291
loom,n./v.,5292
notable,n./adj.,5293
witch,n./v.,5294
cane,n./v.,5299
forge,n./v.,5304
disrupt,adj./v.,5307
specialized,adj.,5310
desirable,adj.,5313
remains,n.,5315
alert,adj./n./v.,5318
allege,v.,5319
hut,n./v.,5321
attain,v.,5323
urgent,adj.,5330
choir,n./v.,5331
insider,n.,5334
confine,v./n.,5337
orthodox,adj.,5340
strand,n./v.,5344
orchestra,n.,5347
grim,adj.,5348
drought,n.,5353
uphold,v.,5354
hazardous,adj.,5358
bin,n.,5370
grind,n./v.,5372
vanilla,n.,5374
prescribe,v.,5375
graphic,adj.,5381
circulation,n.,5384
explosive,n./adj.,5387
illuminate,v.,5388
penetrate,v.,5392
grill,n./v.,5395
innocence,n.,5397
parameter,n.,5398
flaw,n.,5399
optimism,n.,5401
posture,n./v.,5406
rehearsal,n.,5413
invoke,v.,5414
discard,v./n.,5416
restraint,n.,5419
abundance,n.,5425
duration,n.,5426
proposition,n./v.,5428
portable,adj.,5441
clarity,n.,5443
verse,n./v.,5446
trophy,n./v.,5448
ironic,adj.,5450
rattle,v./n.,5452
descent,n.,5454
startle,n./v.,5455
gorgeous,adj.,5457
tease,n./v.,5458
gospel,n.,5461
rigid,adj.,5469
rotate,adj./v.,5483
magnificent,adj.,5493
scrape,n./v.,5494
prey,n./v.,5502
audit,n./v.,5503
bump,n./v.,5504
applicant,n.,5512
nurture,n./v.,5533
vivid,adj.,5539
tenant,n./v.,5543
omit,v.,5550
obsession,n.,5558
certainty,n.,5560
damp,n./adj./v.,5562
nutrition,n.,5563
melody,n.,5565
distinguished,adj.,5567
maple,n.,5571
memoir,n.,5572
cultivate,v.,5574
luxury,n./adj.,5575
disposal,n.,5580
defy,v./n.,5583
scrap,n./v./adj.,5594
axis,n.,5598
applause,n.,5599
suitcase,n.,5600
dual,adj./n.,5602
supervise,v.,5603
precede,v.,5604
shield,n./v.,5606
aspiration,n.,5607
substitute,n./v./adj.,5613
calcium,n.,5615
quantum,n.,5616
gravel,n.,5620
eternal,adj.,5626
collision,n.,5633
verify,v.,5634
encompass,v.,5635
faction,n.,5641
skillet,n.,5643
immense,adj.,5645
instrumental,adj.,5653
aftermath,n.,5655
crust,n./v.,5659
millennium,n.,5666
mosquito,n.,5667
unconscious,adj.,5668
divert,v.,5673
passive,adj.,5680
outrage,n./v.,5684
monopoly,n.,5686
summon,v.,5691
optional,adj.,5692
dangle,v./n.,5695
breed,n./v.,5698
haven,n./v.,5699
mobility,n.,5701
jerk,n./v.,5703
affirm,v.,5714
sip,n./v.,5716
span,n./v.,5718
linger,v.,5721
applaud,v.,5722
harbor,n./v.,5726
dim,adj./v.,5733
injection,n.,5734
presume,v.,5740
excess,n./adj.,5741
constituent,n./adj.,5746
antique,n./adj.,5748
wit,n.,5755
fabulous,adj.,5757
resignation,n.,5762
deed,n./v.,5766
closure,n./v.,5773
erase,v.,5776
terminal,n./adj.,5777
amateur,n.,5795
mosque,n.,5801
linear,adj.,5802
worship,n./v.,5808
resentment,n.,5813
justification,n.,5816
niche,n./v.,5822
revise,n./v.,5829
bark,n./v.,5831
fascinate,v.,5834
stab,n./v.,5835
generator,n.,5836
parallel,n./adj./v.,5840
underscore,v./n.,5841
prop,n./v.,5845
incidence,n.,5847
fulfil,v.,5849
corrupt,adj./v.,5850
specimen,n.,5851
obscure,adj./v.,5853
wan,adj./v.,5854
bout,n.,5865
spatial,adj.,5869
matrix,n.,5874
cone,n./v.,5878
stroll,n./v.,5880
integral,n./adj.,5882
transparent,adj.,5884
circulate,v.,5888
forecast,n./v.,5890
maximize,v.,5895
absurd,adj./n.,5901
thrust,n./v.,5904
temptation,n.,5906
analogy,n.,5913
inhabitant,n.,5914
intensify,v.,5921
sway,n./v.,5924
upgrade,n./adv./v.,5927
manifest,n./adj./v.,5931
flush,n./adj./adv./v.,5935
align,v.,5939
mighty,n./adj./adv.,5943
defect,n.,5946
subjective,adj.,5947
valve,n./v.,5952
owl,n.,5953
petition,n./v.,5959
artery,n.,5962
static,n./adj.,5963
curator,n.,5964
humble,adj./v.,5970
gum,n./v.,5971
fishery,n.,5973
thesis,n.,5974
cosmic,adj.,5978
qualified,adj.,5981
ponder,v.,5982
complicate,v.,5983
denounce,v.,5987
lounge,n./v.,5990
credible,adj.,5991
warrant,n./v.,5999
horizontal,n./adj.,6000
mattress,n.,6001
exceptional,adj.,6002
wary,adj.,6004
saturated,adj.,6006
embed,v.,6007
linen,n./adj.,6009
gallon,n.,6013
elevate,v.,6022
loosen,v.,6023
lottery,n.,6027
chore,n.,6028
fringe,n./v./adj.,6029
hedge,n./v./adj.,6032
lease,n./v.,6035
murmur,n./v.,6039
gauge,n./v.,6046
census,n./v.,6047
inhabit,v.,6052
quota,n.,6055
stride,n./v.,6056
excerpt,n./v.,6058
miniature,n./adj.,6061
oversight,n.,6063
snatch,n./v.,6071
accord,n./v.,6075
perch,n./v.,6081
shrine,n./v.,6082
albeit,conj.,6086
mold,n./v.,6087
addict,v./n.,6091
marginal,adj.,6094
hail,n./v./int.,6105
garment,n.,6112
naive,adj.,6114
exert,v.,6115
arctic,adj./n.,6116
certification,n.,6117
boulder,n.,6122
cereal,n./adj.,6122
fracture,n./v.,6123
sensible,adj.,6126
tract,n.,6133
descendant,n./adj.,6138
lump,n./v.,6139
scarf,n./v.,6140
clash,n./v.,6143
mammal,n.,6146
