headword,pos,freq_rank,cefr
play a part,,,A2
play chinese chess,,,A2
play ping-pong,,,A2
play the guitar,,,A2
playful,a,,B1
plenty of,,,A2
plum,n,,B2
pm,,,B1
pocket money,,,A2
point out,,,A2
pole,n/vt/vi,,B2
policewoman,n,,B1
polish,a/n/vt/vi,,B1
politely,adv,,B1
positronic,,,B2
potentially,adv,,B2
pouch,n/vt/vi,,B2
practical joke,,,B1
precisely,adv,,B2
predictor,n,,B2
priceless,a,,B1
primary school,n,,A2
prime minister,,,A2
prior to,,,B1
procrastination,n,,B2
programmer,n,,B1
proud of,,,A2
pull together,,,A2
purr,v/n,,B1
push-up,n,,B1
put off,,,B1
put on,,,A2
put out,,,A2
put up,,,A2
quarter-final,a/n,,B2
quickly,adv,,B1
quietly,adv,,B1
raging,a,,B2
rain or shine,,,A2
rainstorm,n,,B1
rather than,,,A2
re,prep/n,,B1
reach for,,,A2
red scarf,,,A2
redwood,n,,B1
refer to,,,B1
reindeer,n,,B2
reject out of hand,,,B1
rely on,,,B1
rest area,,,A2
restroom,n,,B1
result in,,,B1
retired,a,,B2
reunite,v,,B2
reusable,a,,B1
right away,,,A2
right now,,,A2
robotics,,,B1
rock music,,,A2
roller coaster,,,A2
roller skating,,,B1
rooftop,n,,B2
rooted,a,,B2
run after,,,A2
run out,,,B1
runny,a,,B1
rush hour,n,,A2
russian,n/a,,B1
saint,n/a,,B1
san francisco,,,A2
satisfied,a,,B1
satisfying,a,,B2
scarecrow,n,,B1
scared,a,,B1
scared of,,,A2
scary,a,,B1
school uniform,,,A2
schoolgirl,n,,B1
sci-fi,n,,B1
science fiction,,,B1
scientific research,,,A2
sea level,,,A2
seal cutting,,,B1
search for,,,A2
seat belt,,,A2
second language,n,,B1
secrecy,n,,B2
secretly,adv,,B1
security guard,,,A2
self-belief,n,,B2
self-critical,a,,B2
self-improvement,n,,B1
selfie,n,,B2
sell out,,,A2
semi-final,n,,B2
separate from,,,A2
serving,n,,B1
serving chopsticks,,,A2
set off,,,B1
set out,,,A2
shaving,n,,B2
shh,int,,B1
shoulder the responsibility,,,A2
shout at,,,A2
show up,,,A2
shut away,,,A2
shut off,,,A2
shuttlecock,n/vt/vi,,B1
side by side,,,A2
sign up,,,A2
sign-off,n,,B1
significantly,adv,,B2
silver lining,n,,A2
similar to,,,A2
simulated,a,,B2
simulator,n,,B2
sink or swim,,,A2
sinologist,n,,B2
sit up,,,A2
sit-up,n,,B1
skateboarding,n,,B1
skinny,a,,B2
slow down,,,A2
smartphone,n,,B1
so far,,,A2
so that,,,A2
social media,,,A2
socialise,vt/vi,,B2
soft drink,n,,A2
solar panel,,,A2
solstice,n,,B2
some day,,,A2
soundly,adv,,B1
southwestern,a,,B1
spaghetti,n,,B1
spare time,n,,A2
speed up,,,B1
spiker,n,,B2
spoiled,,,B1
sports field,,,A2
square kilometre,,,A2
start over,,,A2
starter unit,,,A2
state of mind,,,B1
statistic,n/a,,B2
stay in,,,A2
steamed chicken soup,,,A2
steamed fish,,,A2
steely,a,,B2
steer clear of,,,B1
stick to,,,A2
stir-fry,v/n,,B1
stonehenge,,,B1
stop short,,,A2
stressed,a,,B1
stressed out,,,B1
stringed,a,,B2
stuck,,,B1
subatomic,a,,B2
submersible,a,,B1
such as,,,A2
suffer from,,,A2
sufferer,n,,B2
sugary,a,,B2
summarise,vt,,B2
sunbathe,n,,B1
sunless,a,,B1
superhero,n,,B1
surf,n/vi,,B2
surfboard,n,,B1
surfer,n,,B1
surfing,n,,B1
surgical,a/n,,B2
surprised,a,,B1
sustainable,a,,B2
sweaty,a,,B2
swimmer,n,,B1
switch on,,,B1
switzerland,n,,B1
swollen,a,,B2
symbolic,a,,B2
symbolise,vt,,B2
t-shirt,n,,B1
table manners,,,A2
tablespoon,n,,B1
take a breath,,,B1
take a deep breath,,,A2
take a message,,,A2
take a photo,,,A2
take a seat,,,A2
take a shower,,,A2
take a walk,,,A2
take action,,,A2
take back,,,A2
take care of,,,A2
take notes,,,A2
take off,,,A2
take out a loan,,,B1
take over,,,A2
take part in,,,A2
take photos,,,A2
take place,,,A2
take pride in,,,A2
take up,,,A2
takeaway,a/n,,B1
talk back,,,A2
tangled,a,,B2
teaching building,,,A2
teammate,n,,B1
teen,n,,B1
teenage,a,,B1
tell the truth,,,A2
tendon,n,,B2
test out,,,B1
test the waters,,,B1
text message,,,A2
thai,n,,B1
thankfully,adv,,B1
thanks to,,,A2
the elderly,,,A2
the food chain,,,A2
the fruit of,,,A2
the movies,,,A2
the olympics,,,A2
the silver screen,,,A2
the unknown,,,B1
think about,,,A2
think of,,,A2
think twice,,,B1
thirty-metre-high,,,B1
thousands of,,,A2
thrilling,a,,B2
throw away,,,A2
throw in the towel,,,B1
time zone,,,A2
timeless,a,,B2
timeline,n,,B1
timepiece,n,,B2
tiring,a,,B1
to be honest,,,B1
to start with,,,A2
toddler,n,,B2
tofu,n,,B1
too many,,,A2
too much,,,A2
torn,,,B2
tragically,adv,,B2
trailer,n,,B1
trainee,n,,B2
traveller,n,,B1
treasure hunt,n,,A2
trip over,,,B1
troll,vi/vt/n,,B2
try on,,,A2
tsunami,n,,B1
turn around,,,A2
turn off,,,A2
turn on,,,A2
turn out,,,B1
turn to,,,B1
turn up,,,B1
tv,,,B1
two-dimensional,a,,B2
two-way,a,,B2
typically,adv,,B2
unaware,a,,B2
uncertainty,n,,B2
