headword,pos,freq_rank
instruction,n.,1563
engine,n./v.,1569
expand,v.,1572
metal,n./adj./v.,1574
ticket,n./v.,1576
corporate,adj.,1579
reading,n./adj.,1581
mental,adj./n.,1584
lunch,n.,1586
educational,adj.,1587
sugar,n./v.,1591
favorite,n./adj.,1593
explore,v.,1594
complex,n./adj.,1598
athlete,n.,1600
scientific,adj.,1605
impossible,adj.,1606
panel,n./v.,1607
instrument,n.,1611
weather,n./adj./v.,1614
commitment,n.,1616
supreme,n./adj.,1618
bear,n./v.,1619
pocket,n./v./adj.,1620
temperature,n.,1622
surprise,n./v.,1624
consequence,n.,1626
sight,n./v./adj.,1629
balance,n./v.,1631
adopt,v.,1632
minority,n./adj.,1633
teaching,n.,1638
advice,n.,1641
empty,adj./n./v.,1644
regional,adj.,1645
trail,n./v.,1646
novel,n./adj.,1647
code,n./v.,1648
somehow,adv.,1649
jury,n./adj.,1650
acknowledge,v.,1654
theme,n.,1655
union,n.,1658
desk,n.,1659
fruit,n.,1662
expensive,adj.,1664
yellow,n./adj.,1665
conclusion,n.,1666
prime,n./adj./v.,1667
regulation,n.,1675
shift,n./v.,1680
revenue,n.,1681
appearance,n.,1684
package,n./v./adj.,1685
difficulty,n.,1686
bridge,n./v.,1687
obvious,adj.,1689
generate,v.,1692
propose,v.,1694
thinking,n./adj.,1695
trend,n./v.,1697
loan,n./v.,1699
comfortable,adj./n.,1701
profit,n./v.,1704
angry,adj.,1705
meal,n./v.,1710
hearing,n.,1711
traffic,n./v.,1712
notion,n.,1714
capture,n./v.,1715
chest,n.,1717
cash,n./v.,1722
museum,n.,1723
beauty,n.,1724
emergency,n.,1725
unique,adj.,1726
internal,adj.,1728
ethnic,adj.,1729
link,n./v.,1730
stress,n./v.,1731
content,n./adj./v.,1732
declare,v.,1736
appreciate,v.,1738
setting,n.,1742
launch,n./v.,1743
file,n./v.,1745
sick,n./adj./v.,1746
outcome,n.,1747
duty,n.,1752
sheet,n./v./adj.,1753
catholic,n./adj.,1757
extent,n.,1758
component,n./adj.,1760
contrast,n./v.,1762
airport,n.,1765
pilot,n./v./adj.,1772
ultimately,adv.,1774
contribution,n.,1776
capacity,n.,1777
estate,n.,1778
guide,n./v.,1779
circumstance,n.,1780
slip,n./v./adj.,1786
percentage,n.,1787
meat,n.,1788
soil,n./v.,1791
surgery,n.,1793
due,n./adj.,1796
blame,n./v.,1797
estimate,n./v.,1798
criterion,n.,1799
golf,n./v.,1801
investigate,v.,1802
branch,n./v.,1807
relief,n.,1812
ancient,adj.,1817
silence,n./v./int.,1820
motion,n./v.,1822
gender,n./v.,1824
solve,v.,1825
fee,n./v.,1826
landscape,n./v.,1827
equal,n./adj./v.,1830
typical,adj.,1835
eliminate,v.,1838
hall,n.,1839
host,n./v.,1840
ocean,n.,1842
afford,v.,1846
regime,n.,1848
confirm,v.,1851
appeal,n./v.,1852
length,n.,1855
smart,adj./n./v.,1856
rely,v.,1857
association,n.,1859
topic,n.,1860
variable,n./adj.,1862
telephone,n./v.,1865
perception,n.,1866
bedroom,n.,1869
confidence,n.,1870
debt,n.,1871
rare,adj./adv.,1872
nurse,n./v.,1875
coverage,n.,1877
bond,n./v.,1880
pleasure,n./v.,1882
master,n./adj./v.,1883
requirement,n.,1885
wing,n./v.,1889
somewhat,n./adv.,1897
pour,n./v.,1898
reference,n./v.,1904
tear,n./v.,1905
grant,n./v.,1907
minister,n./v.,1910
hero,n.,1912
industrial,adj./n.,1913
stretch,n./adj./v.,1915
volume,n./v./adj.,1917
fashion,n./v.,1922
intervention,n.,1926
copy,n./v.,1927
aim,n./v.,1931
cite,v.,1932
welfare,n./adj.,1933
vegetable,n./adj.,1934
improvement,n.,1936
beach,n.,1937
opening,n./adj.,1940
overall,adj./adv./n.,1941
initial,n./adj./v.,1943
oppose,v.,1945
route,n./v.,1946
contemporary,n./adj.,1947
essential,n./adj.,1949
lake,n./v.,1950
criminal,n./adj.,1953
holiday,n./v.,1963
resolution,n.,1968
abortion,n.,1969
witness,n./v.,1970
match,n./v.,1972
barely,adv.,1973
sector,n./v.,1974
emphasize,v.,1975
representative,n./adj.,1976
faculty,n.,1985
waste,n./adj./v.,1986
mass,n./adj./v.,1989
experiment,n./v.,1990
liberal,n./adj.,1993
enormous,adj.,1994
massive,adj.,1996
engineer,n./v.,1997
wheel,n./v.,1999
decline,n./v.,2000
invest,v.,2001
cable,n./v.,2003
expose,v.,2005
rural,adj.,2006
cream,n.,2008
secretary,n.,2009
noise,n./v.,2012
grass,n.,2014
hat,n./v.,2015
legislation,n.,2017
achievement,n.,2021
fishing,n./adj.,2022
accuse,v.,2024
useful,adj.,2026
characteristic,n./adj.,2032
milk,n./v.,2033
cast,n./v.,2035
unusual,adj.,2037
convince,v.,2039
height,n.,2040
physician,n.,2041
assess,v.,2042
virtually,adv.,2046
addition,n.,2048
sharp,n./adj./adv.,2049
campus,n.,2059
acquire,v.,2063
technical,adj.,2064
plus,prep./adj./n.,2066
immigrant,n./adj.,2069
illegal,adj.,2071
alternative,n./adj.,2073
column,n.,2074
personality,n.,2076
curriculum,n.,2077
signal,n./v./adj.,2078
king,n./v.,2080
assistance,n.,2081
lab,n.,2089
wrap,n./v.,2090
display,n./v.,2092
asset,n.,2094
depression,n.,2095
spiritual,adj./n.,2096
musical,n./adj.,2097
journalist,n.,2099
suspect,n./adj./v.,2100
cheese,n.,2104
observation,n.,2105
payment,n.,2106
proceeding,n.,2107
permit,n./v.,2109
priority,n.,2112
creation,n.,2114
request,n./v.,2116
emotion,n.,2117
dramatic,adj.,2119
gap,n./v.,2121
library,n.,2129
agenda,n.,2130
recover,v.,2131
factory,n.,2132
selection,n.,2133
initiative,n./adj.,2138
diet,n./v.,2139
therapy,n.,2142
schedule,n./v.,2144
housing,n.,2147
post,n./v./adv.,2148
existing,adj.,2150
steel,n./adj./v.,2152
regarding,prep.,2153
visual,adj.,2156
violent,adj.,2158
chip,n./v.,2159
silent,adj.,2160
tea,n.,2164
perceive,v.,2165
settlement,n.,2167
layer,n./v.,2168
planning,n.,2169
description,n.,2171
slide,n./v.,2174
wedding,n.,2176
portion,n./v.,2178
territory,n.,2179
opponent,n./adj.,2181
transform,v.,2185
tension,n./v.,2186
bother,v./n.,2189
consist,v.,2190
saving,n./adj./prep.,2193
bend,v./n.,2194
desert,n./adj./v.,2196
cop,n./v.,2199
double,n./adj./v.,2202
preserve,v./n.,2209
passage,n./v.,2210
formal,adj./n.,2211
transition,n.,2212
existence,n.,2213
album,n.,2215
cycle,n./v.,2220
lock,n./v.,2221
opposite,adj./prep./n.,2222
deserve,v.,2224
resistance,n.,2226
discovery,n.,2227
exposure,n.,2229
pose,n./v.,2230
sale,n.,2234
mine,n./v./pron.,2236
grand,adj.,2237
knife,n./v.,2240
coalition,n.,2241
resolve,v./n.,2242
phase,n./v.,2244
symptom,n.,2249
